a, b, c, d, e
86, 182, 86, 6, 99915
87, 219, 87, 7, 99914
88, 256, 88, 8, 99913
89, 293, 89, 9, 99912
90, 330, 90, 0, 99911
91, 367, 91, 1, 99910
92, 404, 92, 2, 99909
93, 441, 93, 3, 99908
94, 478, 94, 4, 99907
95, 515, 95, 5, 99906
96, 552, 96, 6, 99905
97, 589, 97, 7, 99904
98, 626, 98, 8, 99903
99, 663, 99, 9, 99902
100, 700, 100, 0, 99901
101, 737, 101, 1, 99900
102, 774, 102, 2, 99899
103, 811, 103, 3, 99898
104, 848, 104, 4, 99897
105, 885, 105, 5, 99896
106, 922, 106, 6, 99895
107, 959, 107, 7, 99894
108, 996, 108, 8, 99893
109, 33, 109, 9, 99892
110, 70, 110, 0, 99891
111, 107, 111, 1, 99890
112, 144, 112, 2, 99889
113, 181, 113, 3, 99888
114, 218, 114, 4, 99887
115, 255, 115, 5, 99886
116, 292, 116, 6, 99885
117, 329, 117, 7, 99884
118, 366, 118, 8, 99883
119, 403, 119, 9, 99882
120, 440, 120, 0, 99881
121, 477, 121, 1, 99880
122, 514, 122, 2, 99879
123, 551, 123, 3, 99878
124, 588, 124, 4, 99877
125, 625, 125, 5, 99876
126, 662, 126, 6, 99875
127, 699, 127, 7, 99874
128, 736, 128, 8, 99873
129, 773, 129, 9, 99872
130, 810, 130, 0, 99871
131, 847, 131, 1, 99870
132, 884, 132, 2, 99869
133, 921, 133, 3, 99868
134, 958, 134, 4, 99867
135, 995, 135, 5, 99866
136, 32, 136, 6, 99865
137, 69, 137, 7, 99864
138, 106, 138, 8, 99863
139, 143, 139, 9, 99862
140, 180, 140, 0, 99861
141, 217, 141, 1, 99860
142, 254, 142, 2, 99859
143, 291, 143, 3, 99858
144, 328, 144, 4, 99857
145, 365, 145, 5, 99856
146, 402, 146, 6, 99855
147, 439, 147, 7, 99854
148, 476, 148, 8, 99853
149, 513, 149, 9, 99852
150, 550, 150, 0, 99851
151, 587, 151, 1, 99850
152, 624, 152, 2, 99849
153, 661, 153, 3, 99848
154, 698, 154, 4, 99847
155, 735, 155, 5, 99846
156, 772, 156, 6, 99845
157, 809, 157, 7, 99844
158, 846, 158, 8, 99843
159, 883, 159, 9, 99842
160, 920, 160, 0, 99841
161, 957, 161, 1, 99840
162, 994, 162, 2, 99839
163, 31, 163, 3, 99838
164, 68, 164, 4, 99837
165, 105, 165, 5, 99836
166, 142, 166, 6, 99835
167, 179, 167, 7, 99834
168, 216, 168, 8, 99833
169, 253, 169, 9, 99832
170, 290, 170, 0, 99831
171, 327, 171, 1, 99830
172, 364, 172, 2, 99829
173, 401, 173, 3, 99828
174, 438, 174, 4, 99827
175, 475, 175, 5, 99826
176, 512, 176, 6, 99825
177, 549, 177, 7, 99824
178, 586, 178, 8, 99823
179, 623, 179, 9, 99822
180, 660, 180, 0, 99821
181, 697, 181, 1, 99820
182, 734, 182, 2, 99819
183, 771, 183, 3, 99818
184, 808, 184, 4, 99817
185, 845, 185, 5, 99816
186, 882, 186, 6, 99815
187, 919, 187, 7, 99814
188, 956, 188, 8, 99813
189, 993, 189, 9, 99812
190, 30, 190, 0, 99811
191, 67, 191, 1, 99810
192, 104, 192, 2, 99809
193, 141, 193, 3, 99808
194, 178, 194, 4, 99807
195, 215, 195, 5, 99806
196, 252, 196, 6, 99805
197, 289, 197, 7, 99804
198, 326, 198, 8, 99803
199, 363, 199, 9, 99802
200, 400, 200, 0, 99801
201, 437, 201, 1, 99800
202, 474, 202, 2, 99799
203, 511, 203, 3, 99798
204, 548, 204, 4, 99797
205, 585, 205, 5, 99796
206, 622, 206, 6, 99795
207, 659, 207, 7, 99794
208, 696, 208, 8, 99793
209, 733, 209, 9, 99792
210, 770, 210, 0, 99791
211, 807, 211, 1, 99790
212, 844, 212, 2, 99789
213, 881, 213, 3, 99788
214, 918, 214, 4, 99787
215, 955, 215, 5, 99786
216, 992, 216, 6, 99785
217, 29, 217, 7, 99784
218, 66, 218, 8, 99783
219, 103, 219, 9, 99782
220, 140, 220, 0, 99781
221, 177, 221, 1, 99780
222, 214, 222, 2, 99779
223, 251, 223, 3, 99778
224, 288, 224, 4, 99777
225, 325, 225, 5, 99776
226, 362, 226, 6, 99775
227, 399, 227, 7, 99774
228, 436, 228, 8, 99773
229, 473, 229, 9, 99772
230, 510, 230, 0, 99771
231, 547, 231, 1, 99770
232, 584, 232, 2, 99769
233, 621, 233, 3, 99768
234, 658, 234, 4, 99767
235, 695, 235, 5, 99766
236, 732, 236, 6, 99765
237, 769, 237, 7, 99764
238, 806, 238, 8, 99763
239, 843, 239, 9, 99762
240, 880, 240, 0, 99761
241, 917, 241, 1, 99760
242, 954, 242, 2, 99759
243, 991, 243, 3, 99758
244, 28, 244, 4, 99757
245, 65, 245, 5, 99756
246, 102, 246, 6, 99755
247, 139, 247, 7, 99754
248, 176, 248, 8, 99753
249, 213, 249, 9, 99752
250, 250, 250, 0, 99751
251, 287, 251, 1, 99750
252, 324, 252, 2, 99749
253, 361, 253, 3, 99748
254, 398, 254, 4, 99747
255, 435, 255, 5, 99746
256, 472, 256, 6, 99745
257, 509, 257, 7, 99744
258, 546, 258, 8, 99743
259, 583, 259, 9, 99742
260, 620, 260, 0, 99741
261, 657, 261, 1, 99740
262, 694, 262, 2, 99739
263, 731, 263, 3, 99738
264, 768, 264, 4, 99737
265, 805, 265, 5, 99736
266, 842, 266, 6, 99735
267, 879, 267, 7, 99734
268, 916, 268, 8, 99733
269, 953, 269, 9, 99732
270, 990, 270, 0, 99731
271, 27, 271, 1, 99730
272, 64, 272, 2, 99729
273, 101, 273, 3, 99728
274, 138, 274, 4, 99727
275, 175, 275, 5, 99726
276, 212, 276, 6, 99725
277, 249, 277, 7, 99724
278, 286, 278, 8, 99723
279, 323, 279, 9, 99722
280, 360, 280, 0, 99721
281, 397, 281, 1, 99720
282, 434, 282, 2, 99719
283, 471, 283, 3, 99718
284, 508, 284, 4, 99717
285, 545, 285, 5, 99716
286, 582, 286, 6, 99715
287, 619, 287, 7, 99714
288, 656, 288, 8, 99713
289, 693, 289, 9, 99712
290, 730, 290, 0, 99711
291, 767, 291, 1, 99710
292, 804, 292, 2, 99709
293, 841, 293, 3, 99708
294, 878, 294, 4, 99707
295, 915, 295, 5, 99706
296, 952, 296, 6, 99705
297, 989, 297, 7, 99704
298, 26, 298, 8, 99703
299, 63, 299, 9, 99702
300, 100, 300, 0, 99701
301, 137, 301, 1, 99700
302, 174, 302, 2, 99699
303, 211, 303, 3, 99698
304, 248, 304, 4, 99697
305, 285, 305, 5, 99696
306, 322, 306, 6, 99695
307, 359, 307, 7, 99694
308, 396, 308, 8, 99693
309, 433, 309, 9, 99692
310, 470, 310, 0, 99691
311, 507, 311, 1, 99690
312, 544, 312, 2, 99689
313, 581, 313, 3, 99688
314, 618, 314, 4, 99687
315, 655, 315, 5, 99686
316, 692, 316, 6, 99685
317, 729, 317, 7, 99684
318, 766, 318, 8, 99683
319, 803, 319, 9, 99682
320, 840, 320, 0, 99681
321, 877, 321, 1, 99680
322, 914, 322, 2, 99679
323, 951, 323, 3, 99678
324, 988, 324, 4, 99677
325, 25, 325, 5, 99676
326, 62, 326, 6, 99675
327, 99, 327, 7, 99674
328, 136, 328, 8, 99673
329, 173, 329, 9, 99672
330, 210, 330, 0, 99671
331, 247, 331, 1, 99670
332, 284, 332, 2, 99669
333, 321, 333, 3, 99668
334, 358, 334, 4, 99667
335, 395, 335, 5, 99666
336, 432, 336, 6, 99665
337, 469, 337, 7, 99664
338, 506, 338, 8, 99663
339, 543, 339, 9, 99662
340, 580, 340, 0, 99661
341, 617, 341, 1, 99660
342, 654, 342, 2, 99659
343, 691, 343, 3, 99658
344, 728, 344, 4, 99657
345, 765, 345, 5, 99656
346, 802, 346, 6, 99655
347, 839, 347, 7, 99654
348, 876, 348, 8, 99653
349, 913, 349, 9, 99652
350, 950, 350, 0, 99651
351, 987, 351, 1, 99650
352, 24, 352, 2, 99649
353, 61, 353, 3, 99648
354, 98, 354, 4, 99647
355, 135, 355, 5, 99646
356, 172, 356, 6, 99645
357, 209, 357, 7, 99644
358, 246, 358, 8, 99643
359, 283, 359, 9, 99642
360, 320, 360, 0, 99641
361, 357, 361, 1, 99640
362, 394, 362, 2, 99639
363, 431, 363, 3, 99638
364, 468, 364, 4, 99637
365, 505, 365, 5, 99636
366, 542, 366, 6, 99635
367, 579, 367, 7, 99634
368, 616, 368, 8, 99633
369, 653, 369, 9, 99632
370, 690, 370, 0, 99631
371, 727, 371, 1, 99630
372, 764, 372, 2, 99629
373, 801, 373, 3, 99628
374, 838, 374, 4, 99627
375, 875, 375, 5, 99626
376, 912, 376, 6, 99625
377, 949, 377, 7, 99624
378, 986, 378, 8, 99623
379, 23, 379, 9, 99622
380, 60, 380, 0, 99621
381, 97, 381, 1, 99620
382, 134, 382, 2, 99619
383, 171, 383, 3, 99618
384, 208, 384, 4, 99617
385, 245, 385, 5, 99616
386, 282, 386, 6, 99615
387, 319, 387, 7, 99614
388, 356, 388, 8, 99613
389, 393, 389, 9, 99612
390, 430, 390, 0, 99611
391, 467, 391, 1, 99610
392, 504, 392, 2, 99609
393, 541, 393, 3, 99608
394, 578, 394, 4, 99607
395, 615, 395, 5, 99606
396, 652, 396, 6, 99605
397, 689, 397, 7, 99604
398, 726, 398, 8, 99603
399, 763, 399, 9, 99602
400, 800, 400, 0, 99601
401, 837, 401, 1, 99600
402, 874, 402, 2, 99599
403, 911, 403, 3, 99598
404, 948, 404, 4, 99597
405, 985, 405, 5, 99596
406, 22, 406, 6, 99595
407, 59, 407, 7, 99594
408, 96, 408, 8, 99593
409, 133, 409, 9, 99592
410, 170, 410, 0, 99591
411, 207, 411, 1, 99590
412, 244, 412, 2, 99589
413, 281, 413, 3, 99588
414, 318, 414, 4, 99587
415, 355, 415, 5, 99586
416, 392, 416, 6, 99585
417, 429, 417, 7, 99584
418, 466, 418, 8, 99583
419, 503, 419, 9, 99582
420, 540, 420, 0, 99581
421, 577, 421, 1, 99580
422, 614, 422, 2, 99579
423, 651, 423, 3, 99578
424, 688, 424, 4, 99577
425, 725, 425, 5, 99576
426, 762, 426, 6, 99575
427, 799, 427, 7, 99574
428, 836, 428, 8, 99573
429, 873, 429, 9, 99572
430, 910, 430, 0, 99571
431, 947, 431, 1, 99570
432, 984, 432, 2, 99569
433, 21, 433, 3, 99568
434, 58, 434, 4, 99567
435, 95, 435, 5, 99566
436, 132, 436, 6, 99565
437, 169, 437, 7, 99564
438, 206, 438, 8, 99563
439, 243, 439, 9, 99562
440, 280, 440, 0, 99561
441, 317, 441, 1, 99560
442, 354, 442, 2, 99559
443, 391, 443, 3, 99558
444, 428, 444, 4, 99557
445, 465, 445, 5, 99556
446, 502, 446, 6, 99555
447, 539, 447, 7, 99554
448, 576, 448, 8, 99553
449, 613, 449, 9, 99552
450, 650, 450, 0, 99551
451, 687, 451, 1, 99550
452, 724, 452, 2, 99549
453, 761, 453, 3, 99548
454, 798, 454, 4, 99547
455, 835, 455, 5, 99546
456, 872, 456, 6, 99545
457, 909, 457, 7, 99544
458, 946, 458, 8, 99543
459, 983, 459, 9, 99542
460, 20, 460, 0, 99541
461, 57, 461, 1, 99540
462, 94, 462, 2, 99539
463, 131, 463, 3, 99538
464, 168, 464, 4, 99537
465, 205, 465, 5, 99536
466, 242, 466, 6, 99535
467, 279, 467, 7, 99534
468, 316, 468, 8, 99533
469, 353, 469, 9, 99532
470, 390, 470, 0, 99531
471, 427, 471, 1, 99530
472, 464, 472, 2, 99529
473, 501, 473, 3, 99528
474, 538, 474, 4, 99527
475, 575, 475, 5, 99526
476, 612, 476, 6, 99525
477, 649, 477, 7, 99524
478, 686, 478, 8, 99523
479, 723, 479, 9, 99522
480, 760, 480, 0, 99521
481, 797, 481, 1, 99520
482, 834, 482, 2, 99519
483, 871, 483, 3, 99518
484, 908, 484, 4, 99517
485, 945, 485, 5, 99516
486, 982, 486, 6, 99515
487, 19, 487, 7, 99514
488, 56, 488, 8, 99513
489, 93, 489, 9, 99512
490, 130, 490, 0, 99511
491, 167, 491, 1, 99510
492, 204, 492, 2, 99509
493, 241, 493, 3, 99508
494, 278, 494, 4, 99507
495, 315, 495, 5, 99506
496, 352, 496, 6, 99505
497, 389, 497, 7, 99504
498, 426, 498, 8, 99503
499, 463, 499, 9, 99502
500, 500, 0, 0, 99501
501, 537, 1, 1, 99500
502, 574, 2, 2, 99499
503, 611, 3, 3, 99498
504, 648, 4, 4, 99497
505, 685, 5, 5, 99496
506, 722, 6, 6, 99495
507, 759, 7, 7, 99494
508, 796, 8, 8, 99493
509, 833, 9, 9, 99492
510, 870, 10, 0, 99491
511, 907, 11, 1, 99490
512, 944, 12, 2, 99489
513, 981, 13, 3, 99488
514, 18, 14, 4, 99487
515, 55, 15, 5, 99486
516, 92, 16, 6, 99485
517, 129, 17, 7, 99484
518, 166, 18, 8, 99483
519, 203, 19, 9, 99482
520, 240, 20, 0, 99481
521, 277, 21, 1, 99480
522, 314, 22, 2, 99479
523, 351, 23, 3, 99478
524, 388, 24, 4, 99477
525, 425, 25, 5, 99476
526, 462, 26, 6, 99475
527, 499, 27, 7, 99474
528, 536, 28, 8, 99473
529, 573, 29, 9, 99472
530, 610, 30, 0, 99471
531, 647, 31, 1, 99470
532, 684, 32, 2, 99469
533, 721, 33, 3, 99468
534, 758, 34, 4, 99467
535, 795, 35, 5, 99466
536, 832, 36, 6, 99465
537, 869, 37, 7, 99464
538, 906, 38, 8, 99463
539, 943, 39, 9, 99462
540, 980, 40, 0, 99461
541, 17, 41, 1, 99460
542, 54, 42, 2, 99459
543, 91, 43, 3, 99458
544, 128, 44, 4, 99457
545, 165, 45, 5, 99456
546, 202, 46, 6, 99455
547, 239, 47, 7, 99454
548, 276, 48, 8, 99453
549, 313, 49, 9, 99452
550, 350, 50, 0, 99451
551, 387, 51, 1, 99450
552, 424, 52, 2, 99449
553, 461, 53, 3, 99448
554, 498, 54, 4, 99447
555, 535, 55, 5, 99446
556, 572, 56, 6, 99445
557, 609, 57, 7, 99444
558, 646, 58, 8, 99443
559, 683, 59, 9, 99442
560, 720, 60, 0, 99441
561, 757, 61, 1, 99440
562, 794, 62, 2, 99439
563, 831, 63, 3, 99438
564, 868, 64, 4, 99437
565, 905, 65, 5, 99436
566, 942, 66, 6, 99435
567, 979, 67, 7, 99434
568, 16, 68, 8, 99433
569, 53, 69, 9, 99432
570, 90, 70, 0, 99431
571, 127, 71, 1, 99430
572, 164, 72, 2, 99429
573, 201, 73, 3, 99428
574, 238, 74, 4, 99427
575, 275, 75, 5, 99426
576, 312, 76, 6, 99425
577, 349, 77, 7, 99424
578, 386, 78, 8, 99423
579, 423, 79, 9, 99422
580, 460, 80, 0, 99421
581, 497, 81, 1, 99420
582, 534, 82, 2, 99419
583, 571, 83, 3, 99418
584, 608, 84, 4, 99417
585, 645, 85, 5, 99416
586, 682, 86, 6, 99415
587, 719, 87, 7, 99414
588, 756, 88, 8, 99413
589, 793, 89, 9, 99412
590, 830, 90, 0, 99411
591, 867, 91, 1, 99410
592, 904, 92, 2, 99409
593, 941, 93, 3, 99408
594, 978, 94, 4, 99407
595, 15, 95, 5, 99406
596, 52, 96, 6, 99405
597, 89, 97, 7, 99404
598, 126, 98, 8, 99403
599, 163, 99, 9, 99402
600, 200, 100, 0, 99401
601, 237, 101, 1, 99400
602, 274, 102, 2, 99399
603, 311, 103, 3, 99398
604, 348, 104, 4, 99397
605, 385, 105, 5, 99396
606, 422, 106, 6, 99395
607, 459, 107, 7, 99394
608, 496, 108, 8, 99393
609, 533, 109, 9, 99392
610, 570, 110, 0, 99391
611, 607, 111, 1, 99390
612, 644, 112, 2, 99389
613, 681, 113, 3, 99388
614, 718, 114, 4, 99387
615, 755, 115, 5, 99386
616, 792, 116, 6, 99385
617, 829, 117, 7, 99384
618, 866, 118, 8, 99383
619, 903, 119, 9, 99382
620, 940, 120, 0, 99381
621, 977, 121, 1, 99380
622, 14, 122, 2, 99379
623, 51, 123, 3, 99378
624, 88, 124, 4, 99377
625, 125, 125, 5, 99376
626, 162, 126, 6, 99375
627, 199, 127, 7, 99374
628, 236, 128, 8, 99373
629, 273, 129, 9, 99372
630, 310, 130, 0, 99371
631, 347, 131, 1, 99370
632, 384, 132, 2, 99369
633, 421, 133, 3, 99368
634, 458, 134, 4, 99367
635, 495, 135, 5, 99366
636, 532, 136, 6, 99365
637, 569, 137, 7, 99364
638, 606, 138, 8, 99363
639, 643, 139, 9, 99362
640, 680, 140, 0, 99361
641, 717, 141, 1, 99360
642, 754, 142, 2, 99359
643, 791, 143, 3, 99358
644, 828, 144, 4, 99357
645, 865, 145, 5, 99356
646, 902, 146, 6, 99355
647, 939, 147, 7, 99354
648, 976, 148, 8, 99353
649, 13, 149, 9, 99352
650, 50, 150, 0, 99351
651, 87, 151, 1, 99350
652, 124, 152, 2, 99349
653, 161, 153, 3, 99348
654, 198, 154, 4, 99347
655, 235, 155, 5, 99346
656, 272, 156, 6, 99345
657, 309, 157, 7, 99344
658, 346, 158, 8, 99343
659, 383, 159, 9, 99342
660, 420, 160, 0, 99341
661, 457, 161, 1, 99340
662, 494, 162, 2, 99339
663, 531, 163, 3, 99338
664, 568, 164, 4, 99337
665, 605, 165, 5, 99336
666, 642, 166, 6, 99335
667, 679, 167, 7, 99334
668, 716, 168, 8, 99333
669, 753, 169, 9, 99332
670, 790, 170, 0, 99331
671, 827, 171, 1, 99330
672, 864, 172, 2, 99329
673, 901, 173, 3, 99328
674, 938, 174, 4, 99327
675, 975, 175, 5, 99326
676, 12, 176, 6, 99325
677, 49, 177, 7, 99324
678, 86, 178, 8, 99323
679, 123, 179, 9, 99322
680, 160, 180, 0, 99321
681, 197, 181, 1, 99320
682, 234, 182, 2, 99319
683, 271, 183, 3, 99318
684, 308, 184, 4, 99317
685, 345, 185, 5, 99316
686, 382, 186, 6, 99315
687, 419, 187, 7, 99314
688, 456, 188, 8, 99313
689, 493, 189, 9, 99312
690, 530, 190, 0, 99311
691, 567, 191, 1, 99310
692, 604, 192, 2, 99309
693, 641, 193, 3, 99308
694, 678, 194, 4, 99307
695, 715, 195, 5, 99306
696, 752, 196, 6, 99305
697, 789, 197, 7, 99304
698, 826, 198, 8, 99303
699, 863, 199, 9, 99302
700, 900, 200, 0, 99301
701, 937, 201, 1, 99300
702, 974, 202, 2, 99299
703, 11, 203, 3, 99298
704, 48, 204, 4, 99297
705, 85, 205, 5, 99296
706, 122, 206, 6, 99295
707, 159, 207, 7, 99294
708, 196, 208, 8, 99293
709, 233, 209, 9, 99292
710, 270, 210, 0, 99291
711, 307, 211, 1, 99290
712, 344, 212, 2, 99289
713, 381, 213, 3, 99288
714, 418, 214, 4, 99287
715, 455, 215, 5, 99286
716, 492, 216, 6, 99285
717, 529, 217, 7, 99284
718, 566, 218, 8, 99283
719, 603, 219, 9, 99282
720, 640, 220, 0, 99281
721, 677, 221, 1, 99280
722, 714, 222, 2, 99279
723, 751, 223, 3, 99278
724, 788, 224, 4, 99277
725, 825, 225, 5, 99276
726, 862, 226, 6, 99275
727, 899, 227, 7, 99274
728, 936, 228, 8, 99273
729, 973, 229, 9, 99272
730, 10, 230, 0, 99271
731, 47, 231, 1, 99270
732, 84, 232, 2, 99269
733, 121, 233, 3, 99268
734, 158, 234, 4, 99267
735, 195, 235, 5, 99266
736, 232, 236, 6, 99265
737, 269, 237, 7, 99264
738, 306, 238, 8, 99263
739, 343, 239, 9, 99262
740, 380, 240, 0, 99261
741, 417, 241, 1, 99260
742, 454, 242, 2, 99259
743, 491, 243, 3, 99258
744, 528, 244, 4, 99257
745, 565, 245, 5, 99256
746, 602, 246, 6, 99255
747, 639, 247, 7, 99254
748, 676, 248, 8, 99253
749, 713, 249, 9, 99252
750, 750, 250, 0, 99251
751, 787, 251, 1, 99250
752, 824, 252, 2, 99249
753, 861, 253, 3, 99248
754, 898, 254, 4, 99247
755, 935, 255, 5, 99246
756, 972, 256, 6, 99245
757, 9, 257, 7, 99244
758, 46, 258, 8, 99243
759, 83, 259, 9, 99242
760, 120, 260, 0, 99241
761, 157, 261, 1, 99240
762, 194, 262, 2, 99239
763, 231, 263, 3, 99238
764, 268, 264, 4, 99237
765, 305, 265, 5, 99236
766, 342, 266, 6, 99235
767, 379, 267, 7, 99234
768, 416, 268, 8, 99233
769, 453, 269, 9, 99232
770, 490, 270, 0, 99231
771, 527, 271, 1, 99230
772, 564, 272, 2, 99229
773, 601, 273, 3, 99228
774, 638, 274, 4, 99227
775, 675, 275, 5, 99226
776, 712, 276, 6, 99225
777, 749, 277, 7, 99224
778, 786, 278, 8, 99223
779, 823, 279, 9, 99222
780, 860, 280, 0, 99221
781, 897, 281, 1, 99220
782, 934, 282, 2, 99219
783, 971, 283, 3, 99218
784, 8, 284, 4, 99217
785, 45, 285, 5, 99216
786, 82, 286, 6, 99215
787, 119, 287, 7, 99214
788, 156, 288, 8, 99213
789, 193, 289, 9, 99212
790, 230, 290, 0, 99211
791, 267, 291, 1, 99210
792, 304, 292, 2, 99209
793, 341, 293, 3, 99208
794, 378, 294, 4, 99207
795, 415, 295, 5, 99206
796, 452, 296, 6, 99205
797, 489, 297, 7, 99204
798, 526, 298, 8, 99203
799, 563, 299, 9, 99202
800, 600, 300, 0, 99201
801, 637, 301, 1, 99200
802, 674, 302, 2, 99199
803, 711, 303, 3, 99198
804, 748, 304, 4, 99197
805, 785, 305, 5, 99196
806, 822, 306, 6, 99195
807, 859, 307, 7, 99194
808, 896, 308, 8, 99193
809, 933, 309, 9, 99192
810, 970, 310, 0, 99191
811, 7, 311, 1, 99190
812, 44, 312, 2, 99189
813, 81, 313, 3, 99188
814, 118, 314, 4, 99187
815, 155, 315, 5, 99186
816, 192, 316, 6, 99185
817, 229, 317, 7, 99184
818, 266, 318, 8, 99183
819, 303, 319, 9, 99182
820, 340, 320, 0, 99181
821, 377, 321, 1, 99180
822, 414, 322, 2, 99179
823, 451, 323, 3, 99178
824, 488, 324, 4, 99177
825, 525, 325, 5, 99176
826, 562, 326, 6, 99175
827, 599, 327, 7, 99174
828, 636, 328, 8, 99173
829, 673, 329, 9, 99172
830, 710, 330, 0, 99171
831, 747, 331, 1, 99170
832, 784, 332, 2, 99169
833, 821, 333, 3, 99168
834, 858, 334, 4, 99167
835, 895, 335, 5, 99166
836, 932, 336, 6, 99165
837, 969, 337, 7, 99164
838, 6, 338, 8, 99163
839, 43, 339, 9, 99162
840, 80, 340, 0, 99161
841, 117, 341, 1, 99160
842, 154, 342, 2, 99159
843, 191, 343, 3, 99158
844, 228, 344, 4, 99157
845, 265, 345, 5, 99156
846, 302, 346, 6, 99155
847, 339, 347, 7, 99154
848, 376, 348, 8, 99153
849, 413, 349, 9, 99152
850, 450, 350, 0, 99151
851, 487, 351, 1, 99150
852, 524, 352, 2, 99149
853, 561, 353, 3, 99148
854, 598, 354, 4, 99147
855, 635, 355, 5, 99146
856, 672, 356, 6, 99145
857, 709, 357, 7, 99144
858, 746, 358, 8, 99143
859, 783, 359, 9, 99142
860, 820, 360, 0, 99141
861, 857, 361, 1, 99140
862, 894, 362, 2, 99139
863, 931, 363, 3, 99138
864, 968, 364, 4, 99137
865, 5, 365, 5, 99136
866, 42, 366, 6, 99135
867, 79, 367, 7, 99134
868, 116, 368, 8, 99133
869, 153, 369, 9, 99132
870, 190, 370, 0, 99131
871, 227, 371, 1, 99130
872, 264, 372, 2, 99129
873, 301, 373, 3, 99128
874, 338, 374, 4, 99127
875, 375, 375, 5, 99126
876, 412, 376, 6, 99125
877, 449, 377, 7, 99124
878, 486, 378, 8, 99123
879, 523, 379, 9, 99122
880, 560, 380, 0, 99121
881, 597, 381, 1, 99120
882, 634, 382, 2, 99119
883, 671, 383, 3, 99118
884, 708, 384, 4, 99117
885, 745, 385, 5, 99116
886, 782, 386, 6, 99115
887, 819, 387, 7, 99114
888, 856, 388, 8, 99113
889, 893, 389, 9, 99112
890, 930, 390, 0, 99111
891, 967, 391, 1, 99110
892, 4, 392, 2, 99109
893, 41, 393, 3, 99108
894, 78, 394, 4, 99107
895, 115, 395, 5, 99106
896, 152, 396, 6, 99105
897, 189, 397, 7, 99104
898, 226, 398, 8, 99103
899, 263, 399, 9, 99102
900, 300, 400, 0, 99101
901, 337, 401, 1, 99100
902, 374, 402, 2, 99099
903, 411, 403, 3, 99098
904, 448, 404, 4, 99097
905, 485, 405, 5, 99096
906, 522, 406, 6, 99095
907, 559, 407, 7, 99094
908, 596, 408, 8, 99093
909, 633, 409, 9, 99092
910, 670, 410, 0, 99091
911, 707, 411, 1, 99090
912, 744, 412, 2, 99089
913, 781, 413, 3, 99088
914, 818, 414, 4, 99087
915, 855, 415, 5, 99086
916, 892, 416, 6, 99085
917, 929, 417, 7, 99084
918, 966, 418, 8, 99083
919, 3, 419, 9, 99082
920, 40, 420, 0, 99081
921, 77, 421, 1, 99080
922, 114, 422, 2, 99079
923, 151, 423, 3, 99078
924, 188, 424, 4, 99077
925, 225, 425, 5, 99076
926, 262, 426, 6, 99075
927, 299, 427, 7, 99074
928, 336, 428, 8, 99073
929, 373, 429, 9, 99072
930, 410, 430, 0, 99071
931, 447, 431, 1, 99070
932, 484, 432, 2, 99069
