Source_NodeID,Destination_NodeID,Weight,B1
28272,78495,79,1
960,93663,66,0
80432,8189,47,0
87811,39326,28,0
12153,3254,97,1
51565,865,8,0
65655,30953,39,1
30138,81402,76,1
12733,33200,50,1
19525,33711,73,0
31851,63489,18,1
60897,33492,75,0
97766,99314,27,1
11103,40504,94,0
670,97491,50,0
50473,68626,83,0
71385,50929,94,0
98691,10244,87,1
5152,8446,45,0
24101,41968,23,1
14092,62846,56,0
50050,2678,50,1
98688,17445,46,0
90888,25267,58,1
63447,83119,81,1
69859,28684,12,0
11735,23322,38,1
10350,91320,58,1
37715,25435,49,0
86687,63435,98,0
57903,30784,22,0
92508,79640,73,1
21370,59568,100,1
26029,70484,83,0
20526,98088,24,0
26982,39697,46,1
32012,80346,61,1
38478,37218,97,1
71930,36066,84,1
76893,39416,70,0
56667,62666,94,1
13669,76834,48,1
18441,47881,96,1
63661,6079,48,0
98077,3776,48,0
9702,17652,36,1
65879,97212,69,0
44268,44709,11,1
78086,97396,80,1
59446,41257,56,0
92944,15129,78,1
90147,2952,23,0
50524,64818,5,0
45500,59865,55,0
38093,78912,78,0
98852,31114,87,0
67904,39299,97,0
36788,49475,82,1
51860,2883,16,1
61727,69301,54,0
72990,49100,50,1
19591,42142,48,0
2386,52946,92,1
94511,54035,81,1
68565,36101,4,0
99538,80320,1,1
68083,63103,85,1
21949,55623,65,1
31185,7932,48,0
31582,9084,72,1
45683,24053,5,0
78225,19451,72,0
92517,14692,90,0
32162,73756,27,0
37513,73633,81,1
82176,39552,63,1
97643,58401,7,1
50,7938,77,1
85132,52450,88,0
23378,8224,20,1
71638,30861,11,0
12029,21104,8,1
57735,58795,76,0
3094,85970,33,1
86001,53640,100,0
36489,68719,42,0
9956,92425,39,1
86222,444,68,1
18463,25108,87,1
57681,17562,17,1
26670,50019,58,0
232,41975,43,1
94704,20733,34,1
69961,21666,18,0
15241,55444,30,1
25969,91971,21,0
94420,78118,4,1
19056,57223,56,1
39858,49226,61,1
96673,71357,39,0
91467,66250,88,0
49762,64299,13,0
14898,95337,18,1
18148,31142,94,1
88877,52435,9,0
78063,10488,56,0
68069,55192,8,0
29037,17057,24,0
88430,95958,44,0
5410,16546,98,0
57455,1920,49,1
47774,30785,100,1
13925,45547,97,0
80908,74273,9,0
93579,87540,15,0
36498,26634,86,1
7269,93996,17,1
48705,79841,91,0
17997,82917,2,0
3802,5825,49,0
58152,38573,42,0
70309,97590,35,1
37512,40108,79,1
50097,68651,39,1
28414,54746,74,0
10266,68849,72,0
99201,66221,78,0
8984,21009,49,1
8846,31019,100,0
27867,49874,80,1
17699,84441,44,0
33000,18171,35,0
97740,16528,11,0
43125,12710,43,1
99734,3750,82,1
39413,73085,81,1
12014,88206,26,1
52503,89013,18,1
6223,79706,56,0
28746,4706,3,1
80575,13720,24,0
50402,315,65,0
87140,27702,78,0
79725,28713,1,1
70739,89619,94,1
86675,13891,8,0
34253,9016,8,1
79062,27036,12,0
37469,82720,86,1
74489,47619,23,1
52336,64561,88,1
63193,9212,75,0
96867,66809,24,0
35923,58479,74,0
76252,87498,73,0
97135,17989,29,1
71283,8511,67,0
43064,16937,52,1
13942,51494,21,0
12025,67780,3,1
64375,79684,95,0
8055,81219,35,1
1774,95100,1,1
18184,93379,72,0
36650,72744,94,1
33302,81750,5,1
11055,75330,60,1
48011,50453,41,0
16225,25882,50,1
55751,35394,11,1
81038,84085,37,1
89408,11285,12,1
47417,37637,49,1
96810,63443,100,0
10048,96166,26,0
72897,23754,74,1
26444,8373,29,1
86872,8153,32,0
78104,32461,79,1
9098,52520,26,0
85988,33533,55,0
98500,35864,50,1
69616,62427,28,0
58274,72592,27,0
26901,5740,80,0
72239,39531,34,1
92830,99326,53,1
61612,26033,60,0
72941,31176,89,0
58182,95541,76,0
11478,50208,94,0
74037,13674,93,0
41859,31844,33,0
78159,68667,27,0
75640,57323,72,0
50928,39705,49,0
77724,96031,98,0
33144,80075,32,1
21110,78319,11,0
58971,62211,39,1
8483,6047,72,1
79053,9923,63,1
48572,73143,64,1
23479,98591,2,1
4948,64076,29,1
33552,98642,48,1
99009,71800,60,0
98811,69225,76,0
85031,57440,1,1
65461,84481,45,1
23117,32726,62,1
23593,71487,25,0
86475,6224,72,0
95015,38334,94,0
98984,53243,49,1
28511,229,74,0
57157,11646,65,0
51023,1042,81,1
97753,14070,62,0
35623,78417,85,1
9917,77643,52,0
73645,73197,48,0
32560,1854,25,0
72600,79584,63,1
23047,67733,52,0
63124,75101,40,0
28941,48500,84,0
61976,57814,50,1
32463,62595,11,0
20238,85269,82,1
50091,38419,67,1
18029,15313,47,0
5576,2551,65,1
81321,13442,83,0
16997,25157,26,0
80809,28728,5,1
82529,53597,28,0
20137,49476,20,1
34481,53645,37,0
62615,36397,72,0
11201,28967,3,0
16344,54903,84,1
33014,2058,21,0
93049,98054,97,0
43265,69514,84,1
76379,57764,72,0
74373,39655,28,0
79029,98265,1,0
22122,16613,97,1
96964,74527,93,0
46168,59165,70,0
48730,80236,63,0
83483,61113,75,1
34624,5443,21,0
43823,9196,93,1
32867,90351,80,1
64521,38401,100,0
77127,18846,24,1
49410,32303,54,1
77580,34072,37,1
26439,19281,6,1
30962,44774,57,0
61539,60993,51,0
92633,5639,95,0
5437,25188,75,0
42642,22578,74,0
14746,22593,15,0
45906,52858,52,0
24553,77065,71,0
95679,78639,78,0
32420,53818,8,1
97827,50757,4,0
55783,89129,35,0
96016,62544,91,0
66537,82368,70,0
67838,14481,8,0
6879,26216,85,0
97929,70070,9,0
78644,60512,57,0
92587,66205,77,0
39678,73365,26,1
77712,31924,43,0
55613,63712,21,1
62676,91303,78,1
3404,43021,87,1
9972,53596,95,1
14171,34013,27,1
82591,75345,2,1
6868,54863,26,0
22815,22041,29,0
6024,723,70,0
37676,33338,61,1
59696,36509,91,1
34099,10218,19,1
64901,10235,90,1
21595,96181,34,1
62777,10833,47,1
74233,21833,70,1
95925,74804,52,0
74309,62160,75,1
26011,62455,77,1
74430,24241,83,1
71891,55792,9,1
35044,83830,93,0
13013,26167,56,0
99934,42656,78,0
81551,23560,57,0
77094,40675,32,0
73432,26805,90,1
47125,44777,94,1
92951,46948,2,1
99606,65481,25,0
73286,19109,84,0
97077,97762,46,0
45025,69357,6,0
4576,35320,8,0
10156,39595,49,1
22894,57523,38,1
62020,78881,19,1
93313,92491,59,1
46408,37279,40,1
86643,33302,26,1
53319,86393,77,0
2339,14564,39,0
39,17763,46,0
12672,37063,70,1
41834,80442,97,1
52399,84150,62,0
19029,62112,34,1
43212,29938,57,0
52745,96991,86,1
45366,33486,88,1
34346,64467,82,1
71331,87501,69,0
40530,43711,52,0
5810,76985,55,1
19014,36344,10,1
66759,23473,61,1
5278,90887,12,0
15782,69583,76,1
27730,77985,86,1
26323,94242,66,0
15760,96382,56,0
99044,59179,45,1
43595,3853,87,1
57284,50575,26,1
35731,15830,90,1
87260,88103,42,1
36390,79987,76,0
50334,49524,74,1
58485,58935,9,0
994,83680,12,1
39703,2468,36,0
21142,75604,2,1
18242,96258,38,0
56858,86659,70,0
75387,22896,59,1
29935,23122,11,0
52379,57676,13,0
49454,35450,78,0
15414,43460,46,0
46586,8705,100,1
22043,89875,10,0
54663,74269,65,1
5657,688,66,0
513,9770,79,0
59538,32871,68,1
25934,6711,74,1
4543,54174,9,1
4147,58293,24,0
36374,97132,44,1
78474,34874,81,1
96985,70880,57,0
17379,64340,26,0
46917,41336,74,1
2087,35246,16,1
57267,2220,46,1
17982,9472,62,1
42348,53214,81,1
96414,75130,14,1
95864,34900,73,1
94572,78880,8,1
6547,97992,38,1
72383,48063,98,1
46757,28604,26,1
11858,63728,86,1
98088,28850,18,0
66582,70701,39,0
12150,14358,67,1
68611,85270,61,1
50859,57233,8,1
65448,78805,4,1
427,15307,45,0
88882,74649,11,0
43099,54102,32,0
49424,26100,72,0
21424,44013,95,0
26325,59294,53,1
66952,9214,1,1
26299,33323,20,1
83785,53106,66,0
71144,89064,2,1
88807,97487,100,0
42646,86585,76,1
26969,3618,22,1
59526,60084,85,0
58169,77034,61,1
30265,81582,100,1
49797,70103,34,0
43096,8356,77,0
22862,51305,98,1
17420,99845,20,0
40728,35829,63,0
78475,77314,97,0
19518,23703,18,1
39476,26940,16,0
38189,39230,92,0
3417,61705,32,0
51344,58111,88,1
5200,47301,75,0
512,27924,58,1
58848,73635,52,0
70352,50753,60,0
63085,65143,95,1
67981,7233,87,0
66215,64086,50,1
30049,94530,48,1
47744,86691,46,0
48488,35322,97,1
4519,70907,89,1
68906,27232,51,1
73372,76089,3,0
68285,8718,24,0
2219,34101,20,0
25274,13954,93,1
465,18004,94,0
89820,21520,51,0
8524,23955,61,1
52709,87772,2,0
40348,39215,82,1
86560,59503,52,0
77049,35272,32,1
32569,51162,43,0
41902,405,64,0
65220,91324,53,1
79006,94850,55,0
40778,18341,39,0
71702,76166,99,1
51317,59258,89,0
24236,43030,74,0
875,7874,95,0
81091,53500,16,0
36748,16453,11,1
97090,40561,47,1
86027,46723,26,0
19922,30621,30,1
25108,16932,68,0
3502,76131,20,1
9107,84361,20,1
42635,77944,35,0
51281,26541,78,0
99554,32821,48,0
48908,37184,14,1
74907,33253,53,0
89878,60575,89,1
747,49738,4,1
61954,94398,99,0
20065,93492,51,0
77941,28885,64,1
4293,35596,3,0
8108,77939,96,1
34632,62022,57,0
3364,61308,85,1
21009,76173,47,1
17720,66151,14,1
32736,55542,30,0
60552,78619,59,1
25318,59685,93,1
85284,5005,51,1
45827,79213,12,0
67034,79187,24,0
88442,15569,62,1
32572,27964,42,0
30921,95986,12,1
27851,47617,100,0
11180,7795,36,0
85049,17208,25,1
97385,10047,80,0
74425,7253,4,1
81503,76918,96,0
7941,83638,30,0
68111,82276,49,0
25706,40741,81,1
43452,31427,92,0
72339,88614,13,0
6421,81977,90,1
38927,83662,28,0
76977,58415,2,0
11335,6263,17,1
89295,81299,94,1
47318,52896,77,1
74773,69263,4,1
91278,14121,31,0
57488,33762,99,1
3160,20886,51,0
53874,93751,26,0
67620,24733,49,1
76339,31689,70,0
23020,55266,82,0
3764,77539,61,1
95801,82169,100,0
47875,59057,88,0
71707,13416,89,1
76983,43701,5,1
73644,95110,97,1
63795,60136,83,1
45905,91144,7,1
57654,53772,29,0
86915,78763,97,1
20446,94580,94,1
80706,79902,98,0
72007,79849,92,1
3632,29815,37,1
12674,57943,55,0
46884,79178,23,1
65929,51865,7,0
17471,88862,45,1
6009,51644,24,1
38479,45001,94,0
72715,79797,77,0
58803,63406,70,1
34052,91912,2,0
38374,81161,20,1
62613,27795,67,1
65394,50570,91,0
99340,80845,31,1
25184,33916,32,0
44066,97513,33,1
82986,81363,77,1
55643,61440,47,1
64046,99426,59,1
36612,39823,56,1
34332,18153,53,0
80103,10231,62,1
30122,9747,6,1
17190,25606,85,0
16557,81137,22,1
57668,99215,4,0
15077,20298,5,1
30892,88559,17,0
84154,71617,70,1
15943,18500,19,0
75845,26577,33,1
77141,38532,41,0
51787,24014,60,1
27419,57202,51,1
73314,48931,50,1
27208,31931,65,1
36662,86891,98,1
41832,17137,32,1
76130,85332,86,1
62773,58585,1,1
23540,16595,88,1
99776,25584,19,1
72824,45592,24,0
48025,6579,31,0
28518,1940,27,1
18850,8102,58,1
18990,85535,50,1
18189,67780,49,1
64319,59770,32,1
94755,8743,55,1
54658,4271,12,0
6528,35195,3,1
90146,13088,79,1
26354,81729,8,0
95640,91172,88,0
32017,52458,74,1
9076,77476,46,0
90948,2116,1,1
42371,90938,35,0
62907,34974,49,0
93201,13263,25,0
94428,53353,10,0
30018,72476,8,0
40075,69623,51,1
70732,32726,91,0
82973,57074,47,0
70498,53051,95,0
65780,12433,31,0
51362,98646,64,0
94586,86883,47,0
26418,61252,9,0
32050,93616,70,1
69634,96509,25,1
59006,7776,5,1
58715,80997,31,0
14784,68608,16,0
73578,21993,79,1
50813,35862,81,1
1189,17674,70,0
61630,66389,83,1
52369,12335,37,0
79071,69274,75,0
11903,30698,20,1
95752,18026,19,1
97419,53444,96,1
37350,37779,78,0
2694,54914,79,0
47412,95426,8,0
47832,4297,20,0
90398,39007,55,0
68567,64231,9,1
24940,13121,57,1
98279,87639,45,0
57485,62869,7,1
51890,78454,38,1
34823,85286,58,0
81753,68955,25,0
18866,22650,76,0
75323,45028,44,1
60731,99654,20,1
38158,89828,17,1
32563,39583,89,1
31787,31342,28,1
37702,95199,83,1
73057,6317,63,1
11867,11094,95,0
95545,54750,79,1
82028,1420,95,0
34873,94509,43,0
84360,59833,38,0
75686,31337,64,1
28067,28527,45,1
36943,43436,95,0
19536,19097,19,1
84040,89615,4,0
82800,19175,46,0
66230,58453,94,0
18458,2296,96,0
30646,64492,61,1
40062,23059,78,0
21449,12354,42,0
40444,70424,24,0
32909,252,56,0
65318,30664,25,1
10908,73761,2,0
28154,67010,68,0
17461,78897,97,0
90320,40986,58,0
90403,78735,23,1
67276,92350,87,0
44338,26330,82,1
8417,36107,14,1
83186,20377,12,1
58814,30236,97,1
78106,19949,99,0
62603,92747,74,1
3013,30576,98,1
18745,79565,67,1
42946,99773,13,0
89604,81747,7,0
22663,7304,30,1
8127,90081,31,1
43967,34747,87,0
35949,46768,2,0
9898,24986,31,1
30183,28383,24,0
90066,41550,4,0
662,97616,4,0
92778,25863,96,0
5012,44917,85,0
89348,55005,10,1
62229,59138,47,0
53102,53173,1,1
86403,52078,19,0
62075,70765,70,0
27622,50581,95,1
7139,38904,80,1
59817,37148,62,1
39588,41176,17,0
62598,54225,26,0
47795,62722,52,0
54228,57749,7,0
70590,47345,100,0
6279,25737,42,1
47623,40767,79,0
44907,3152,39,1
41649,90623,56,1
63815,6123,18,0
99181,9505,2,1
91685,72330,44,1
11886,1528,37,1
16053,22735,24,1
79563,48585,40,0
35760,11314,16,0
51280,93398,79,1
84357,82620,2,1
38665,40032,81,0
39350,14959,87,1
7661,88974,48,0
62324,59603,73,1
50910,56081,84,0
57294,22974,26,0
83670,32618,61,0
54297,65706,21,0
65780,96621,35,0
63748,11900,4,0
34158,73787,95,1
13719,83373,31,0
98048,53210,79,1
76676,64781,39,0
74018,98711,28,0
32901,91114,56,1
75747,16807,73,0
11565,5172,85,0
13503,24822,17,0
46939,77131,27,1
65525,31075,74,0
14966,47346,13,1
27341,72436,43,1
57462,69209,19,1
49814,31171,11,0
31754,73807,44,0
59348,38220,26,1
64091,86928,28,1
27670,99826,40,0
82340,5370,58,0
93334,40672,28,1
33258,9289,9,0
54801,48586,29,1
99084,43199,92,1
56174,41012,74,0
56040,73575,67,1
25197,15815,38,0
27686,35083,66,1
51764,54932,89,1
77030,24215,80,0
28645,48921,99,1
47915,70717,66,1
48053,91883,46,0
50758,1551,27,1
10647,80192,56,0
17937,74256,16,1
90865,77714,92,0
96722,46522,65,1
97856,59032,79,0
83012,72042,8,0
26299,21294,23,1
15843,76638,27,0
94016,87460,91,0
81938,53443,100,0
7004,21121,20,1
95319,906,83,0
67053,21845,18,0
12312,11233,2,0
36543,10262,37,1
21185,17370,15,0
29,74414,2,1
88505,46597,50,0
6175,21624,85,0
89693,43661,12,1
58281,5470,9,1
62120,16741,51,0
3046,15748,49,0
96286,72874,68,1
24831,44905,8,1
92236,38678,57,0
71051,19496,78,1
81252,70830,46,0
98137,79721,78,0
56844,2495,57,1
85702,39037,29,0
30050,66073,96,1
60675,36273,43,1
66166,78238,53,1
24833,63359,77,1
97356,50416,85,1
37279,58453,51,0
19815,8617,12,0
78880,54171,48,0
67031,45154,89,1
29844,53162,72,0
80004,3805,66,0
82494,82670,75,0
73495,8216,62,1
27274,38991,34,0
28346,67899,95,1
90828,89397,43,0
35804,20493,39,1
85504,2441,17,0
65372,96644,26,0
5719,20807,31,0
41341,61495,46,1
38708,48601,9,0
88314,70166,96,1
53717,36914,71,0
60326,49172,100,0
88685,94693,76,0
44264,91955,71,1
94969,87655,54,1
12241,31603,40,0
76187,53513,84,1
45160,93786,78,1
66741,36524,55,0
38534,44053,4,0
34715,41303,57,1
96499,33306,42,0
82842,37053,63,0
54602,20114,9,0
89590,79405,12,0
7259,31989,20,0
63673,56680,32,0
17599,52660,70,1
2293,11932,5,0
68146,81877,89,0
78911,72440,34,0
33265,88842,90,1
43673,20612,59,1
81831,30065,52,0
58748,52332,73,0
99834,13067,12,1
30734,34236,35,1
50454,21532,1,0
18734,7891,15,1
3139,59369,95,0
53135,18612,47,1
90590,97222,54,1
45793,36454,87,1
52795,88342,30,0
7535,34491,5,0
6176,58566,83,0
95551,2695,28,1
49194,84796,90,1
67001,29084,27,0
96298,21290,93,0
80430,28015,49,1
27809,38434,17,0
96281,5595,67,1
83657,59112,21,0
93253,73436,59,1
66823,3333,10,1
32859,54961,68,1
97356,67768,86,1
45095,35136,10,1
21143,34585,53,0
41132,24000,92,0
21669,71923,47,1
26092,10527,25,1
98524,25256,37,1
18173,6524,52,1
85237,97068,77,0
7723,49008,70,1
62131,14275,69,0
49547,83646,53,1
86724,75026,48,0
76937,57958,34,1
95952,96334,13,0
42826,4275,37,1
78810,52452,18,0
27426,93790,76,1
59339,56607,60,0
57296,23873,25,1
36762,65527,63,1
6594,82547,26,1
97729,87227,31,0
21919,98529,1,1
76180,58724,47,1
21332,84544,42,1
86113,94712,29,1
94087,96040,36,0
31985,19280,36,1
92669,25133,13,0
31614,20921,14,0
13916,86318,40,1
96015,53028,66,0
30289,39101,33,1
45011,24178,33,1
99502,73579,83,1
78086,11001,100,1
74768,1821,99,0
99434,84057,5,0
64246,16526,18,0
95967,30422,24,1
20394,81927,88,0
36837,2564,85,0
39652,68548,4,0
28943,47851,95,1
82356,66533,32,1
1559,62135,2,1
35605,84341,71,0
63005,94481,45,1
52936,51894,11,0
10092,45287,78,0
41829,37752,66,1
75611,12735,13,0
71959,3788,27,0
4761,65421,99,1
36960,94699,82,0
1970,29647,56,1
42044,31045,49,1
45028,52085,91,1
99099,60458,63,0
78023,68550,43,0
64155,1063,14,0
13299,70958,51,1
54909,33335,40,0
12626,29479,37,0
81230,17084,3,0
35561,13027,93,1
92721,19075,75,1
21851,37962,44,1
16217,82954,27,0
93133,75861,67,1
19230,60382,83,0
13876,67224,27,0
8344,99161,64,0
88648,57617,15,0
4258,64332,6,1
17213,97563,24,1
31172,41279,69,1
90903,75511,20,1
5098,81581,48,1
15655,67761,78,1
77441,73785,54,1
68019,93228,59,0
60477,94014,34,1
12323,45631,18,1
63766,32784,66,0
40687,47670,48,0
9389,66696,70,1
49824,24160,3,1
64027,69517,46,1
97925,92857,49,0
29244,12520,98,0
4499,66287,92,0
86719,98396,55,0
98933,823,42,1
27003,73532,10,1
902,97021,3,0
38973,37960,65,1
38251,81577,5,0
38560,95640,20,0
70654,90337,5,1
27104,61917,96,1
21663,85755,16,1
25472,75748,43,1
69931,66950,100,1
4971,9543,26,1
73372,73015,82,0
45368,41398,2,0
17443,93582,36,0
6644,47799,74,0
20847,99408,99,0
61300,31091,67,0
45971,44537,29,1
68502,89588,78,1
61773,11868,38,1
96960,9330,51,1
52544,49089,92,0
32541,61913,88,0
78084,1667,46,0
85712,11884,41,1
77418,67579,16,1
55958,62025,8,0
81454,91493,81,1
61550,11660,2,0
21839,31721,28,1
89912,44149,55,0
2761,91610,30,0
51239,51798,76,1
68484,31335,25,0
8852,81962,22,0
44040,9926,94,0
70957,43182,39,1
54199,39544,96,0
45550,74100,31,1
39568,43264,46,1
92204,29429,94,1
22503,12299,65,0
32947,67164,57,0
47911,93828,35,0
36152,96706,81,1
50084,90892,72,1
58806,53051,91,1
35197,91101,49,0
55484,30339,39,1
20559,77244,26,0
690,59108,30,0
1282,31455,100,1
20001,11262,80,1
32624,99205,81,0
37190,71267,48,1
66623,70846,25,0
6791,15542,18,0
90554,27545,15,0
53346,11117,84,1
30028,60733,35,0
34580,4071,27,0
62963,39769,35,0
12407,98832,52,0
2144,16478,74,0
99084,98314,8,1
14091,37909,34,1
34036,32979,73,0
96433,11868,85,0
29753,40577,62,1
19546,15052,90,0
65136,90972,14,0
93594,71044,28,1
30545,42324,65,1
69623,62633,57,1
38070,43667,11,1
83383,30517,88,1
9277,36137,52,1
47413,66181,69,0
53203,4170,27,1
84572,21603,2,1
66657,47143,8,0
14710,79851,62,0
27103,57068,70,0
77071,85784,93,0
36301,173,65,0
82854,51340,78,1
72157,29964,70,0
27125,68299,68,1
2131,74176,7,0
50310,81586,71,0
28718,87663,55,1
50423,69277,78,0
70925,88379,78,0
87794,20586,87,0
22800,29453,93,0
41075,83983,75,0
85917,72515,25,0
56398,25730,90,1
40501,281,56,0
46425,7072,92,1
78860,22220,50,0
35624,56855,9,0
87459,23300,68,0
11141,21523,26,1
88758,89105,90,1
73707,31287,17,1
9695,5593,14,0
96676,3870,91,1
85882,12435,90,1
97682,83048,13,1
24323,46884,55,0
15637,20605,53,0
75455,28502,86,1
96482,60813,72,0
97013,86010,21,1
49985,20355,77,0
14303,7650,45,1
23193,62102,69,0
39512,27035,38,1
42140,73847,16,0
30905,30196,21,1
53581,89181,45,0
2061,68400,41,1
24688,51398,87,0
19707,83671,96,1
17053,70770,85,0
50744,89811,31,1
8245,56973,21,1
87720,17194,28,0
22391,37035,88,1
88936,72165,51,1
7553,71802,41,0
17628,74472,7,0
64363,15513,68,0
65732,88769,66,0
75474,37437,72,0
16149,88903,97,0
48960,2670,43,0
40770,23399,30,1
65613,98265,23,1
83563,54761,47,0
21003,51337,14,1
10360,99745,45,1
2703,70303,60,1
94286,46423,50,0
62952,24707,64,0
96944,36589,38,0
84984,55499,32,0
38605,72675,94,0
14821,56945,67,1
67082,66360,40,0
10005,98428,6,0
40520,60035,3,1
63400,134,2,0
27365,74808,100,0
96670,50471,57,0
88187,99700,33,1
27962,40502,94,1
96620,31808,82,0
17394,76887,19,1
47862,78341,64,1
68060,13082,91,1
68051,14673,29,0
474,42325,66,1
9472,69541,80,1
26271,94721,75,1
23896,1011,42,0
18243,2549,66,0
52503,84269,71,0
31805,55036,56,0
64499,13580,99,1
1681,1069,21,0
46387,33373,83,0
33351,23948,90,0
18131,93390,15,1
87233,80506,94,1
55605,25784,10,1
59254,9685,88,1
78708,13302,98,0
57540,70429,28,0
56664,76464,23,0
18165,89123,71,1
432,39325,50,0
43006,8579,35,0
88764,5724,63,0
62441,57097,39,0
9499,91394,85,1
85647,17488,75,0
50015,19060,66,1
25226,90506,99,1
74681,12921,86,1
47172,54575,90,1
12555,60045,42,1
46735,78058,66,0
77610,8246,77,1
99073,73704,93,1
50563,24220,82,0
89777,98844,32,1
99445,29636,55,1
6046,78703,60,1
94680,28570,43,1
24005,16026,93,0
86337,8811,2,0
61015,88952,79,1
77996,82926,86,0
86475,28613,26,1
80368,4522,31,0
71447,17437,14,0
53066,83594,51,0
33215,85862,68,0
65995,97520,96,0
98878,14433,45,1
8786,15591,45,1
21120,22974,33,0
34646,21584,72,0
66313,31955,75,1
18367,12052,21,0
20082,49202,56,1
8694,98319,17,1
30927,69454,31,1
21379,69982,59,1
35427,26386,62,0
85065,45019,33,1
2485,98832,23,1
20772,4969,30,1
95160,88075,77,0
40892,51696,77,1
37806,95436,26,1
603,39164,55,1
42536,85324,13,1
47549,5041,6,0
25944,68826,53,0
41577,18019,54,1
67863,76935,92,1
73881,60173,27,1
24391,46665,4,1
66126,73776,1,1
10201,59029,70,1
60076,25262,83,1
70303,61746,45,0
83759,26858,71,0
8550,92021,10,0
86231,11892,21,1
42376,66371,42,0
80565,28189,90,1
41984,2043,80,0
89226,96382,61,1
49623,2227,77,1
29488,54007,96,1
78551,11852,31,0
91586,44515,6,0
59343,20189,52,0
45011,56852,4,1
92410,78198,80,0
47128,19581,15,0
41277,54497,13,1
59997,81755,87,1
7669,77141,23,1
88209,56715,2,1
61563,57383,14,0
93392,53301,69,0
57458,84145,79,1
88285,4324,72,1
19322,48668,43,0
45992,82951,48,0
49237,92592,41,0
43356,35120,20,0
26139,71227,39,1
35212,83552,32,1
81352,41827,30,0
41614,20097,22,0
63260,32040,93,0
81814,76700,66,0
78186,896,22,0
8070,99081,77,0
53483,33611,100,1
5685,42262,99,0
49634,29183,32,0
91492,16810,60,0
1025,57283,30,0
80404,38513,51,0
1667,19387,61,0
38057,19737,54,0
13035,66386,32,1
68417,30790,90,1
95704,19456,14,1
17738,15657,80,1
31340,609,29,0
5379,20693,19,1
83857,90643,81,0
10709,73449,68,1
32642,94541,16,1
58784,10789,21,1
82615,77715,37,1
86570,50520,36,1
12217,39755,55,0
48924,44914,49,1
56625,18973,12,0
85548,1573,29,1
84598,46286,69,1
2931,85796,67,1
94612,95464,33,0
6926,45831,1,0
45846,50546,18,1
66546,15504,62,0
14825,54372,41,1
30154,62858,36,1
71432,52788,86,0
93922,95332,31,0
4616,38500,58,1
96343,69674,94,1
7221,2212,42,0
75457,51128,71,1
96179,43760,19,0
94537,63626,7,0
92996,46973,96,0
26240,31656,100,1
59361,9070,48,1
49701,44659,19,0
97214,75365,73,1
93722,88968,85,0
73486,34368,29,0
88528,59142,31,0
40882,2620,44,0
71342,32643,66,1
90772,55251,80,1
75968,52717,22,0
55345,42190,24,1
61284,51494,46,1
44471,86048,11,1
58764,76844,2,1
2504,7440,12,1
31296,49967,19,0
48595,23974,51,0
